5,8,26.2621
4,6,1.10767
4,6,1.14597
4,6,1.15877
0,6,3.55524
0,6,3.34814
0,6,4.90845
0,6,5.07719
0,6,3.70559
0,6,3.4819
0,6,5.62291
0,6,4.4743
1,4,0.0050035
1,8,0.0156146
1,8,0.286427
1,8,0.0720009
1,8,0.187829
1,8,1.88001
2,8,3.00518
2,8,3.13918
2,8,2.70948
2,8,2.86924
2,8,3.11081
2,8,2.93058
2,8,2.83678
3,2,0.0156227
3,2,0.0624847
3,2,0.0625002
3,2,0.0912099
3,2,0.611507
3,2,0.569081
3,2,0.587073
3,4,0.0153931
3,4,0.0155721
3,4,0.0189944
3,8,0.0259896
3,8,0.0270001
3,8,2.30327
3,8,2.30071
3,8,2.91267
3,8,0.0442284
3,8,0.0507768
3,8,0.0491592
3,8,2.15614
3,8,2.09059
3,8,1.93108
3,8,2.33556
3,8,1.68279
3,8,3.03043
3,8,2.20108
3,8,2.06241
3,8,2.03869
3,8,3.26385
3,8,2.00143
3,8,21.0462
3,8,19.79
3,8,20.7306
3,8,4.58395
3,8,1.99177
3,8,2.24093
3,8,1.56118
3,8,1.5357
3,8,1.55042
3,8,1.55113
4,8,0.0156107
4,8,0.187491
4,8,1.64611
3,8,1.56746
3,8,1.62024
3,8,1.58367
3,8,1.57615
0,8,1.83515
1,8,0.0156245
2,8,2.55452
3,8,1.55075
3,8,1.55353
3,8,1.55427
3,8,2.41824
3,8,2.17453
3,8,3.64763
3,8,2.45336
3,8,2.91022
3,8,2.9552
3,8,2.45628
3,8,2.29585
